Grado,Area,Pregunta,ImagenPregunta,Opcion1,ImagenOpcion1,Opcion2,ImagenOpcion2,Opcion3,ImagenOpcion3,Opcion4,ImagenOpcion4,Respuesta
5°,Inglés,"¿Cómo se dice “tormenta” en Inglés?",img/storm.webp,Storm,,Cloud,,Rain,,Thunder,,Storm
5°,Inglés,"¿Qué significa “She is reading a book”?",img/reading.webp,Ella lee un libro ahora mismo,,Ella leerá un libro,,Ella leyó un libro,,Ella tiene un libro,,Ella lee un libro ahora mismo
5°,Inglés,"¿Qué significa “There are two cats”?",img/cats2.webp,Hay dos gatos,,Son dos gatos,,Veo dos gatos,,Tengo dos gatos,,Hay dos gatos
5°,Inglés,"¿Qué significa “always”?",Siempre,,A veces,,Nunca,,Rápidamente,,Siempre
5°,Inglés,"¿Qué significa “dangerous”?",img/danger.webp,Peligroso,,Aburrido,,Feliz,,Divertido,,Peligroso
5°,Inglés,"¿Qué significa “finish your homework”?",img/homework.webp,Termina tu tarea,,Trae tu tarea,,Comienza tu tarea,,Guarda tu tarea,,Termina tu tarea
5°,Inglés,"¿Qué significa “sometimes”?",A veces,,Siempre,,Nunca,,Pronto,,A veces
5°,Inglés,"¿Qué significa “usually”?",img/calendar.webp,Usualmente,,Nunca,,Rápidamente,,Ayer,,Usualmente
5°,Inglés,"¿Qué significa “windy”?",img/windy.webp,Ventoso,,Lluvioso,,Nevado,,Caluroso,,Ventoso
5°,Lenguaje,Elige el efecto de la siguiente causa: "“Su padre le pegaba frecuentemente.”",img/texto7.webp,La niña se hizo desobediente.,,La niña no podía vender sus fósforos..,,No causo ningún efecto.,,La niña temía regresar a su casa.,,La niña temía regresar a su casa.
5°,Lenguaje,Elige la frase escrita en discurso directo.,img/plan_ratones.webp,"“Cierto día los ratones se reunieron para idear un plan”",,"“– Esto tiene que terminar. ¿Alguien tiene algún plan?”",,"“Celebraron con aplausos el nuevo plan”",,"“Estaban hartos de vivir huyendo”",,"“– Esto tiene que terminar. ¿Alguien tiene algún plan?”"
5°,Lenguaje,Elige la opción que muestra un sinónimo de “rápido”.,,Lento,,Veloz,,Tardío,,Pesado,,Veloz
5°,Lenguaje,Selecciona la oración en pretérito.,,Mañana iremos al parque.,,Ella canta muy bien.,,Ayer visitamos el museo.,,Hoy estoy cansado.,,Ayer visitamos el museo.
5°,Lenguaje,Son diferentes tipos de adverbios.,,"Cortos, largos, medianos.",,"Personales, impersonales, propios.".,,"De tiempo, de modo, de lugar.",,"Dónde, cuándo, cómo",,"De tiempo, de modo, de lugar."
5°,Lenguaje,Son ejemplos de adjetivos.,img/texto5.webp,"Fuerte, grande, rígido.",,"Amasar, formar, secar.".,,"Recipiente, agua, barro.",,"Madera, palito, bolitas.",,"Fuerte, grande, rígido."
5°,Lenguaje,Son ejemplos de siglas.,,"Blvd. Av. Cjn. Col.",,"SSA, UNAM, IMSS.",,"Norte, Sur, Este, Oeste",,"Izquierda, derecha.",,"SSA, UNAM, IMSS"
5°,Lenguaje,Son verbos utilizados en el instructivo.,img/texto5.webp,"Poco, mientras, manos.",,"Barro, agua, madera.".,,"Incorporar, dividir, formar.",,"Bolitas del mismo tamaño.",,"Incorporar, dividir, formar."
5°,Lenguaje,Un conflicto en un texto narrativo es:,img/texto7.webp,El momento más difícil.,,La situación que se busca resolver..,,Los problemas de los lectores.,,Los errores de escritura.,,La situación que se busca resolver.
5°,Lenguaje,¿Cuál es el significado implícito del siguiente refrán?,img/texto4.webp,No se puede enderezar el tronco de los árboles.,,No debemos dejar que un árbol crezca..,,"Alguien que se desvíe de lo correcto en sus primeras etapas de vida, no podrá corregirse posteriormente.",,Nunca enderezar un árbol torcido.,,"Alguien que se desvíe de lo correcto en sus primeras etapas de vida, no podrá corregirse posteriormente."
5°,Lenguaje,¿Cuál es la frase en sentido figurado de la siguiente adivinanza?,img/texto2.webp,Es la reina de los mares.,,Su dentadura es muy buena..,,Por no ir nunca vacía.,,Dicen que va llena.,,Es la reina de los mares.
5°,Lenguaje,¿Cuál es la idea principal del siguiente texto?,img/texto8.webp,"Los perros necesitan cuidados diarios para mantenerse sanos.",,"Los perros comen mucho.",,"Los perros son animales peligrosos.",,"Los perros pueden vivir en casas.",,"Los perros necesitan cuidados diarios para mantenerse sanos."
5°,Lenguaje,¿Cuál es un recurso literario usado en poesías?,img/texto11.webp,Las instrucciones.,,La metáfora.,,El reglamento.,,La ficha técnica.,,La metáfora.
5°,Lenguaje,¿Cuál oración está escrita en discurso indirecto?,img/texto14.webp,"María dijo: “Hoy no quiero salir”.",,"María dijo que hoy no quería salir.",,"María: Hoy no quiero salir.",,"—Hoy no quiero salir —dijo María.",,"María dijo que hoy no quería salir."
5°,Lenguaje,¿Cómo quedaría la instrucción 3 en modo imperativo?,img/texto5.webp,Forma una pieza y sigue amansando.,,Formada una pieza se sigue amasando..,,"Formando una pieza, seguir amansando.",,Formará una pieza y seguirá amasando.,,Forma una pieza y sigue amansando.
5°,Lenguaje,¿Que siglas se puede encontrar en el formulario siguiente?,img/formulario.webp,Tel.,,SESA.,,Foto,,COLOR,,SESA
5°,Lenguaje,¿Quién es el personaje principal del cuento?,img/texto7.webp,La niña que vendía fósforos.,,La abuelita..,,Dos casas.,,Los fósforos.,,La niña que vendía fósforos.
5°,Lenguaje,¿Qué elemento corresponde a un texto narrativo?,img/texto13.webp,Los versículos.,,Los diálogos.,,Las fórmulas.,,Las instrucciones.,,Los diálogos.
5°,Lenguaje,¿Qué función cumple el título en un texto?,img/texto9.webp,Acompañar una imagen.,,Repetir la información del autor.,,Presentar el tema del texto.,,Servir como cierre del escrito.,,Presentar el tema del texto.
5°,Lenguaje,¿Qué pregunta responde el adverbio de lugar?,img/texto12.webp,¿Cuándo?,,¿Cómo?,,¿Dónde?,,¿Por qué?,,¿Dónde?
5°,Lenguaje,¿Qué relación existe entre estas dos oraciones?: “El cielo estaba oscuro. Pronto comenzó a llover.”,,Causa y efecto.,,Comparación.,,Contraste.,,Definición.,,Causa y efecto.
5°,Lenguaje,¿Qué sentimiento transmite la lectura del texto?,img/texto6.webp,Amor,,Miedo..,,Buen humor.,,Molestia.,,Amor
5°,Lenguaje,¿Qué tema trata el texto siguiente?,img/texto6.webp,Amor.,,Alegría..,,Tristeza.,,Enojo.,,Alegría.
5°,Lenguaje,¿Qué tipo de documento es el siguiente?,img/formulario.webp,Un formulario.,,Un examen..,,Un acta de nacimiento.,,Una boleta de calificación.,,Un formulario.
5°,Lenguaje,¿Qué tipo de juego de palabras es el siguiente texto?,img/texto1.webp,Un chiste.,,Una adivinanza.,,Un trabalenguas.,,Una leyenda.,,Un trabalenguas.
5°,Lenguaje,¿Qué tipo de texto es el siguiente?,img/texto3.webp,Una adivinanza.,,Un refrán.,,Un chiste.,,Un trabalenguas.,,Un refrán.
5°,Lenguaje,¿Qué tipo de texto es el siguiente?,img/texto6.webp,Un refrán.,,Un cuento..,,Un poema.,,Una adivinanza.,,Un poema.
5°,Lenguaje,¿Qué tipo de texto es el siguiente?,img/texto10.webp,Un instructivo.,,Un cuento.,,Una noticia.,,Una carta.,,Una noticia.
5°,Matemáticas,"Ordénalos de mayor a menor: Milésimo, decimo, centésimo.",,"Centésimo, milésimo, decimo.",,"Decimo, centésimo, milésimo.",,"Milésimo, decimo, centésimo.",,"Centésimo, decimo, milésimo.",,"Decimo, centésimo, milésimo."
5°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo1.webp,recto,,llano,,agudo,,obtuso,,recto
5°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo2.webp,recto,,llano,,agudo,,obtuso,,llano
5°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo3.webp,recto,,llano,,agudo,,obtuso,,agudo
5°,Matemáticas,"¿Qué tipo de ángulo es este?",img/angulo4.webp,recto,,llano,,agudo,,obtuso,,obtuso
5°,Matemáticas,Daniel caminó 1550 metros. ¿Cómo se escribe esa cifra con letra?,,Mil quinientos cincuenta m.,,Mil cinco cincuenta m.,,Mil quinientos sin cuenta m.,,Mil cinco sin cuenta m.,,Mil quinientos cincuenta m.
5°,Matemáticas,Elige la opción del número que corresponde al recuadro de la siguiente recta,img/recta1521.webp,0,,6,,9,,1,,9
5°,Matemáticas,María tiene ahorrado $1200. ¿Cuánto le falta para comprar la siguiente bicicleta?,img/bicicleta.webp,$661,,$849,,$551,,$449,,$849
5°,Matemáticas,Selecciona el triángulo rectángulo.,,Triángulo 1,img/triangulo1.webp,Triángulo 2,img/triangulo2.webp,Triángulo 3,img/triangulo3.webp,Triángulo 4,img/triangulo4.webp,Triángulo 1
5°,Matemáticas,Si el siguiente triángulo  representa 2/6 de una figura ¿Cuál de las siguientes figuras es el entero?,img/triangulo_26.webp,Figura _a,img/fraccion_triangulo1.webp,Figura _b,img/fraccion_triangulo2.webp,Figura _c,img/fraccion_triangulo3.webp,Figura _d,img/fraccion_triangulo4.webp,Figura _d
5°,Matemáticas,Si se divide un círculo en 4 partes iguales ¿Cuántos grados mide ¼ del círculo?,img/fraccion3.webp,45°,,60°,,90°,,30°,,90°
5°,Matemáticas,Un terreno de forma rectangular mide 240 m2 de superficie y de ancho mide 8 m. ¿Cuánto mide de largo?,,28 m,,24 m,,30 m,,32 m,,30 m
5°,Matemáticas,¿Cuál de las siguientes figuras representa la fracción 1/3?,,Figura a,img/fraccion5.webp,Figura b,img/fraccion6.webp,Figura c,img/fraccion7.webp,Figura d,img/fraccion8.webp,Figura a
5°,Matemáticas,¿Cuál de las siguientes figuras tiene mayor perímetro?,,Figura a,img/perimetro_a.webp,Figura b,img/perimetro_b.webp,Figura c,img/perimetro_c.webp,Figura d,img/perimetro_d.webp,Figura c
5°,Matemáticas,¿Cuál de las siguientes figuras tiene un área mayor?,,Figura a,img/area1.webp,Figura b,img/area2.webp,Figura c,img/area3.webp,Figura d,img/area4.webp,Figura a
5°,Matemáticas,¿Cuál es el resultado de sumar las siguientes fracciones?,img/suma_fraccion.webp,10/10,,3/15,,7/10,,/8/12,,10/10
5°,Matemáticas,¿Cuál es el área de la siguiente cartulina rectangular?,img/area_rectangulo.webp,230 cm2.,,250 cm2.,,280 cm2.,,210 cm2.,,280 cm2
5°,Matemáticas,¿Cuántas botellas pequeñas podemos llenar con la botella grande?,img/jugo_botella.webp,4 botellas.,,8 botellas.,,6 botellas.,,10 botellas.,,8 botellas.
5°,Matemáticas,¿Cuántas cajas se necesitan para completar un cubo?,img/cajas.webp,12 cajas.,,6 cajas.,,24 cajas.,,18 cajas.,,24 cajas.
5°,Matemáticas,¿Cuántos grados mide un círculo?,,360°,,180°,,90°,,45°,,360°
5°,Matemáticas,¿Qué figura es un cuadrilátero?,,Figura a,poligono_1.webp,Figura b,poligono_2.webp,Figura c,poligono_3.webp,Figura d,poligono_4.webp,Figura c
5°,Matemáticas,¿Qué fracción del total falta?,img/fraccion_faltante.webp,2/6,,1/4,,1/10,,1/6,,1/6
5°,Matemáticas,¿Qué número falta en el rectángulo?,img/numero_faltante.webp,60,,10,,20,,30,,20
5°,Matemáticas,¿Qué reloj marca 15 para las 7:00?,,Reloj a,img/reloj4.webp,Reloj b,img/reloj5.webp,Reloj c,img/reloj6.webp,Reloj d,img/reloj7.webp,Reloj c
6°,Inglés,"Cuál es la pregunta correcta para esta respuesta? “Yes, I do.”",,Do you like apples?,,Are you happy?,,Is she here?,,Can you swim?,,Do you like apples?
6°,Inglés,"¿Como se dice en Inglés: águila, cerdo perro, Conejo, manzana.",,"Cow, dog, hen, cat",,"Eagle, pig, dog, rabbit, apple",,"Rabbit, turtle, apple, bird, dog",,"Eagle, dog, apple, rabbit, eagle",,"Eagle, pig, dog, rabbit, apple"
6°,Inglés,Completa la oración: They _____ a new car last week.,,buys,,bought,,buy,,buying,,bought
6°,Inglés,Complete la Oracion: “They _____ very happy yesterday.”,,were,,are,,is,,Am,,were
6°,Inglés,Cuál es el tiempo pasado del verbo “eat”?,,Eats,,Eaten,,Ate,,Eat,,Ate
6°,Inglés,Escribe en  Inglés: “¿Dónde vives?”,,Where you live?,,Where do you live?,,Where are you live?,,Where did you live?,,Where do you live?
6°,Inglés,Escribe en Español: “What time is it?”,,¿Qué hora es?,,¿Cómo estás?,,¿Dónde estás?,,¿Cuál es tu nombre?,,¿Qué hora es?
6°,Inglés,Escribe en Inglés: “El perro está en el jardín.”,,The dog are in the garden.,,The dog is in the garden.,,The dogs is in the garden.,,The dog was in the garden.,,The dog is in the garden.
6°,Inglés,Identifica el plural de: “Child”,,Childs,,Children,,Childen,,Chiles,,Children
6°,Inglés,Las formas del verbo TO BE en presente son:,,"It, he, am",,"We, you, they",,"Am,is,are",,"They, are, am",,"Am,is,are"
6°,Inglés,Selecciona la forma correcta del verbo: He _____ football every weekend.,,play,,plays,,playing,,played,,plays
6°,Inglés,Selecciona la preposición correcta: The cat is _____ the chair.,,under,,on,,between,,over,,on
6°,Inglés,Selecciona la respuesta correcta: How are you?,,"I am fine, thank you.",,My name is John.,,I live in a house.,,I am twelve.,,"I am fine, thank you."
6°,Inglés,Seleccione  la opción correcta y complete la oración: "I _____ a book every weekend.",,reads,,read,,reading,,am read,,read
6°,Inglés,Seleccione el plural: The _____ are on the table.,,book,,books,,bookes,,book's,,books
6°,Inglés,Seleccione la forma correcta del verbo: "She _____ to school every day.",,go,,goes,,going,,gone,,goes
6°,Inglés,Seleccione la respuesta correcta: "What time is it?",,It is blue.,,It is sunny.,,It is 3 o'clock.,,It is my favorite.,,It is 3 o'clock.
6°,Inglés,Si lunes en ingles se escribe MONDAY. ¿Como se escribe martes y Viernes?,,Tuesday and wednesday,,Tuesday and friday,,Sunday and friday,,Tuesday and sunday,,Tuesday and friday
6°,Inglés,Traduce: “My house is very big.”,,Mi casa es muy bonita.,,Mi casa es muy grande.,,Mi casa es muy pequeña.,,Mi casa es muy antigua.,,Mi casa es muy grande.
6°,Inglés,¿Cómo se escribe en ingles mesa ?,,Chair,,Blue,,Cat,,Table,,Table
6°,Lenguaje,"Lee el poema: “El viento juega en el campo, su canto llena el espacio.” ¿Qué recurso literario se utiliza?",,Hipérbole,,Metáfora,,Personificación,,Comparación,,Personificación
6°,Lenguaje,"¿Qué figura literaria se usa en este fragmento? “El Sol se escondía detrás de las montañas, pintando el cielo de tonos anaranjados.”",,Metáfora,,Personificación,,Hipérbole,,Aliteración,,Personificación
6°,Lenguaje,Completa la frase con el verbo en pasado perfecto: "Ayer nosotros _____ al parque.",,vamos,,fuimos,,iríamos,,vamos a ir,,fuimos
6°,Lenguaje,El fonema o conjunto de fonemas que pronunciamos en una sola emisión de voz es:,,Trisílaba.,,Triptongo.,,Onomatopeya.,,Silaba.,,Silaba.
6°,Lenguaje,Es uno de los usos principales de la coma:,,Cambiar de párrafo,,Escribir mayúscula después de ella,,"Enumerar elementos, cualidades o características",,Continuar después de un punto,,"Enumerar elementos, cualidades o características"
6°,Lenguaje,Identifica el antónimo de “grande”:,,Pequeño,,Alto,,Largo,,Ancho,,Pequeño
6°,Lenguaje,Selecciona la opción que contiene un sinónimo de “rápido”:,,Lento,,Ligero,,Pesado,,Tardío,,Ligero
6°,Lenguaje,Selecciona la opción que presenta una oración compuesta:,,Me gustan las frutas.,,Juan estudia y María dibuja.,,Salimos al parque.,,Llueve mucho en invierno.,,Juan estudia y María dibuja.
6°,Lenguaje,Selecciona la palabra aguda que lleva tilde:,,Juguete,,Cancion,,Carro,,Fruta,,Cancion
6°,Lenguaje,¿Cuál es el propósito principal de un texto informativo?,,Contar una historia.,,Expresar sentimientos.,,Dar información o explicar algo.,,Convencer al lector.,,Dar información o explicar algo.
6°,Lenguaje,¿Cuál es el sujeto en la oración: “El perro de mi vecino ladra todas las noches”?,,El perro,,Mi vecino,,Todas las noches,,Ladra,,El perro
6°,Lenguaje,¿Cuál es la función de los signos de exclamación en un texto?,,Indicar una pausa.,,Expresar emoción o sorpresa.,,Dar órdenes.,,Separar ideas.,,Expresar emoción o sorpresa.
6°,Lenguaje,¿Cuáles son los subgéneros de un texto narrativo?,,"Tragedia, comedia y drama",,"Lírico, dramático y épico",,"Cuento, fábula, mito, leyenda, novela etc.",,"Poema, verso y prosa",,"Cuento, fábula, mito, leyenda, novela etc."
6°,Lenguaje,¿Qué elemento no puede faltar en una noticia?,,La fecha.,,La firma del periodista.,,El título.,,El cuerpo de la noticia.,,El cuerpo de la noticia.
6°,Lenguaje,¿Qué es un cuento?,,Un texto poético.,,Una narración breve con pocos personajes.,,Una obra de teatro.,,Un texto informativo largo.,,Una narración breve con pocos personajes.
6°,Lenguaje,¿Qué es una biografía?,,Un texto que explica un tema científico.,,Una historia sobre la vida de una persona.,,Un texto que describe lugares.,,Un texto inventado con personajes.,,Una historia sobre la vida de una persona.
6°,Lenguaje,¿Qué es una fábula?,,Una historia que mezcla realidad y fantasía.,,Un cuento con animales que deja una enseñanza.,,Un texto informativo sobre animales.,,Un poema con moraleja.,,Un cuento con animales que deja una enseñanza.
6°,Lenguaje,¿Qué es una oración simple?,,Una oración que tiene sujeto y predicado,,Una oración con más de un verbo.,,Una oración sin sujeto.,,Una oración sin predicado.,,Una oración que tiene sujeto y predicado
6°,Lenguaje,¿Qué tipo de palabra es “rápidamente”?,,Sustantivo,,Adverbio,,Adjetivo,,Verbo,,Adverbio
6°,Lenguaje,“Carlos caminaba por la playa cuando vio algo brillar en la arena.” ¿En qué tiempo están los verbos?,,Presente,,Pasado,,Futuro,,Copretérito,,Pasado
6°,Matemáticas,"Si un rectángulo tiene un largo de 8 cm y un ancho de 3 cm, ¿cuál es su perímetro?",,22 cm,,24 cm,,20 cm,,18 cm,,22 cm
6°,Matemáticas,"Si una tienda vende 3 lápices por $1800, ¿cuánto cuesta cada lápiz?",,$800,,$600,,$500,,$1000,,$600
6°,Matemáticas,"¿Cuál es el siguiente número en la secuencia: 2, 4, 6, 8, ...?",,9,,10,,12,,11,,10
6°,Matemáticas,En el siguiente grafico de barra  observa y responde. La fruta preferida  es:,img/tabla1.webp,Melón ,,Manzana,,Plátano,,Pera,,Manzana
6°,Matemáticas,En la tabla se muestra los puntos obtenidos por un grupo de niños y niñas en un juego. ¿Cuánto puntos le falta a Sandra para completar 7000?,img/tabla2.webp,473,,457,,543,,654,,457
6°,Matemáticas,La fruta menos preferida es:,img/tabla1.webp,Pera,,Manzana,,Melocotón,,Naranja,,Melocotón
6°,Matemáticas,Resuelve: 6×(4+2)=?,,24,,36,,30,,32,,36
6°,Matemáticas,Resuelve: 100−34,,66,,64,,70,,68,,66
6°,Matemáticas,Si Juan tiene 8 manzanas y come 3 ¿cuántas le quedan?,,5,,6,,4,,3,,5
6°,Matemáticas,Un reloj marca las 3:15. ¿Cuántos minutos han pasado desde las 3:00?,,15 minutos,,45 minutos,,30 minutos,,3 minutos,,15 minutos
6°,Matemáticas,Un triángulo tiene:,,4 lados.,,3 lados.,,5 lados.,,6 lados.,,3 lados.
6°,Matemáticas,¿Cuál es el decimal equivalente a 1/4?,,0.25,,0.5,,0.75,,0.1,,0.25
6°,Matemáticas,¿Cuál es el resultado de 3²?,,5,,6,,9,,12,,9
6°,Matemáticas,¿Cuál es el resultado de 12×3?,,36,,33,,30,,39,,36
6°,Matemáticas,¿Cuál es el área de un cuadrado con lados de 5 cm?,,20 cm²,,10 cm²,,25 cm²,,15 cm²,,25 cm²
6°,Matemáticas,¿Cuál es la fracción equivalente a 2/4?,,1/2,,2/2,,3/4,,5/8,,1/2
6°,Matemáticas,¿Cuánto es 48÷6?,,8,,6,,7,,9,,8
6°,Matemáticas,¿Qué es un número primo?,,Un número divisible entre sí mismo y 1 únicamente.,,Un número mayor que 10.,,Un número divisible por 2 y 3.,,Un número par.,,Un número divisible entre sí mismo y 1 únicamente.
6°,Matemáticas,¿Qué es una fracción impropia?,,Una fracción donde el numerador es mayor que el denominador.,,Una fracción menor que 1.,,Una fracción igual a 1.,,Una fracción que no tiene denominador.,,Una fracción donde el numerador es mayor que el denominador.
6°,Matemáticas,¿Qué número es el mayor valor?,,0.8,,0.82,,0.9,,0.75,,0.9
7°,Inglés,Choose the correct preposition: The book is _____ the table.,img/table_book.webp,on,,in,,under,,at,,on
7°,Inglés,Choose the word that best completes the sentence: He has a black _____.,img/house_car.webp,tree,,car,,house,,shirt,,shirt
7°,Inglés,Choose the word that best completes the sentence: He has a green _____.,img/house_car.webp,tree,,car,,house,,shirt,,tree
7°,Inglés,Choose the word that best completes the sentence: He has a red _____.,img/house_car.webp,tree,,car,,house,,shirt,,house
7°,Inglés,Choose the word that best completes the sentence: He has a yellow _____.,img/house_car.webp,tree,,car,,house,,shirt,,car
7°,Inglés,Fill in the blank: Today is Monday. Tomorrow is _____.,img/week.webp,Sunday,,Tuesday,,Friday,,Saturday,,Tuesday
7°,Inglés,Identify the correct pronoun: "Maria and I" can also be written as: _____.,img/we.webp,They,,We,,You,,She,,We
7°,Inglés,Selecciona el artículo que corresponde: Diego is _____ astronaut.,img/astronaut.webp,a,,an,,one,,no,,an
7°,Inglés,Selecciona el artículo que corresponde: Génesis is _____ office worker.,img/office_worker.webp,a,,an,,one,,no,,an
7°,Inglés,Selecciona el artículo que corresponde: Maritza is _____ veterinarian.,img/veterinarian.webp,a,,an,,one,,no,,a
7°,Inglés,Selecciona el artículo que corresponde: Melany is _____ engineer.,img/engineer.webp,a,,an,,one,,no,,an
7°,Inglés,Selecciona el artículo que corresponde: My father is _____ doctor.,img/doctor2.webp,a,,an,,one,,no,,a
7°,Inglés,Selecciona el verbo y completa la oración: She _____ to school every day.,img/student_female.webp,go,,goes,,going,,went,,goes
7°,Inglés,Selecciona la forma del verbo TO BE que corresponde: Britney Spears _____ a singer.,img/Britney_Spears.webp,Am,,Is ,,Are,,Be,,Is
7°,Inglés,Selecciona la forma del verbo TO BE que corresponde: I _____ a student.,img/student.webp,Am,,Is ,,Are,,Be,,Am
7°,Inglés,Selecciona la forma del verbo TO BE que corresponde: My aunt _____ a ballet dancer.,img/ballet_dancer.webp,Am,,Is ,,Are,,Be,,Is
7°,Inglés,Selecciona la forma del verbo TO BE que corresponde: Robert and Mario _____ carpenters.,img/carpenters.webp,Am,,Is ,,Are,,Be,,Are
7°,Inglés,Selecciona la forma del verbo TO BE que corresponde: You _____ a good teacher.,img/teacher.webp,Am,,Is ,,Are,,Be,,Are
7°,Inglés,Selecciona la respuesta correcta: “_____ is your favorite color?,img/colors.webp,Where,,What,,Who,,Why,,What
7°,Inglés,Select the correct meaning of the word: What does "happy" mean?,img/happy3.webp,Triste,,Feliz,,Cansado,,Aburrido,,Feliz
7°,Inglés,Traduce la oración: "I like to play soccer.",img/play.webp,Me gusta leer libros.,,Me gusta jugar fútbol.,,Me gusta correr rápido.,,Me gusta cantar canciones.,,Me gusta jugar fútbol.
7°,Inglés,Une  la imagen con la palabra correcta: ,img/dog3.webp,Cat,,Bird,,Dog,,Fish,,Dog
7°,Inglés,What does Emma like to do with her friends?,img/texto18.webp,Play video games,,Share her favorite stories,,Watch movies,,Go shopping,,Share her favorite stories
7°,Inglés,What is Emma’s dream for the future?,img/texto18.webp,To become a teacher,,To travel the world,,To become a writer,,To open a bookstore,,To become a writer
7°,Inglés,What is Emma’s favorite genre of books?,img/texto18.webp,Science fiction,,Mystery,,Fantasy,,History,,Fantasy
7°,Inglés,What time is it? ,img/reloj8.webp,It is eight o'clock.,,It is two o'clock.,,It is four o'clock.,,It is twelve o'clock.,,It is eight o'clock.
7°,Inglés,Where does Emma go every Saturday?,img/texto18.webp,The bookstore,,The park,,The local library,,Her friend’s house,,The local library
7°,Inglés,Why does Emma enjoy fantasy books?,img/texto18.webp,They teach her about history.,,They have stories about magic and adventure.,,They are based on real events.,,They help her learn new skills.,,They have stories about magic and adventure.
7°,Lenguaje,"El texto en que los animales u objetos se presentan con características humanas, para criticar y dejar una enseñanza. Es propio de:",,Mitos,,Leyenda,,Cuentos,,Fábulas,,Fábulas
7°,Lenguaje,"En la oración: “El niño se comió la manzana porque tenía hambre.”, ¿qué expresa la palabra “porque”?",,Una causa.,,Una consecuencia.,,Una condición.,,Una comparación.,,Una causa.
7°,Lenguaje,"Es la acción y efecto de explicar de manera detallada los rasgos propios de una persona, animal u objetos, se puede decir que es:",,Una exposición.,,Un cuento.,,Una descripción.,,Una fábula.,,Una descripción.
7°,Lenguaje,"Las rondas infantiles, los cuentos populares, los chistes y las coplas hacen parte de:",,La vida de un pueblo,,La moraleja de un cuento,,La tradición oral,,La historia pasada,,La tradición oral
7°,Lenguaje,"“El punto es un signo ortográfico que se utiliza para hacer pausas largas en un texto _____ Existen diferentes tipos de puntos: punto seguido, punto aparte, punto final, dos puntos, puntos suspensivos.” En el espacio subrayado se debe utilizar:",,Dos puntos,,Puntos suspensivos,,Punto seguido,,Una coma,,Punto seguido
7°,Lenguaje,"“Sandra estudió mucho pero no ganó el examen.” El conector “pero” utilizado en el enunciado es un conector de:",,Adición,,Orden,,Oposición,,De duda,,Oposición
7°,Lenguaje,El anterior anuncio tiene errores ortográficos en las palabras:,img/texto15.webp,Ven y buscando,,Buena y estás,,Trabaja y tullo,,Colonbia y tullo,,Colonbia y tullo
7°,Lenguaje,El pronombre es la:,img/pronombres.webp,Tilde que va en la palabra,,Categoría gramatical que designa género y número,,Parte de la oración que se antepone al nombre para actualizarlo,,Parte de la oración que puede ocupar el lugar de un nombre o hacer alusión a él.,,Parte de la oración que puede ocupar el lugar de un nombre o hacer alusión a él.
7°,Lenguaje,El signo de puntuación que se utiliza en diálogos o para mostrar ejemplos es:,,La coma,,El punto y coma,,Los dos puntos,,El punto,,Los dos puntos
7°,Lenguaje,El texto de Aracne por estar refiriéndose a cómo se dio origen a la araña puede considerarse como:,img/texto17.webp,Un mito,,Una leyenda,,Una fábula,,Un cuento,,Un mito
7°,Lenguaje,El texto que Antonio hace para referirse a la finca de su abuelito es:,img/texto16.webp,Descriptivo,,Narrativo,,Argumentativo,,Informativo,,Descriptivo
7°,Lenguaje,En la oración: “Las flores del jardín se marchitaron.” La palabra “jardín” es una palabra:,,Esdrújula,,Sobresdrújula,,Aguda,,Grave,,Aguda
7°,Lenguaje,En la oración: “Sofía tiene muchos amigos.” La palabra “tiene” es:,,Conjunción,,Adjetivo,,Sustantivo,,Verbo,,Verbo
7°,Lenguaje,En la oración: “Todos son inocentes.” La palabra “inocentes” es:,,Adjetivo.,,Verbo.,,Sustantivo.,,Artículo.,,Adjetivo
7°,Lenguaje,En la palabra subrayada en el anuncio se pronuncian dos vocales seguidas en una emisión de voz esto se denomina:,img/texto15.webp,Hiato,,Diptongo,,Triptongo,,Unión de vocales,,Diptongo
7°,Lenguaje,Es uno de los usos principales de la coma,,"Enumerar varios elementos, cualidades o características",,Cambiar de párrafo,,Escribir mayúscula después de ella,,Enumeración de párrafos,,"Enumerar varios elementos, cualidades o características"
7°,Lenguaje,La escritura correcta de las palabras con errores es:,,Buena y buscando,,Colombia y tuyo,,Vuena y estás,,Travaja y tuyo,,Colombia y tuyo
7°,Lenguaje,La expresión "ubicada en Aguas Claras". Se utilizan las mayúsculas por ser:,img/texto16.webp,Sustantivo propio,,Sustantivo común,,Sustantivo concreto,,Sustantivo colectivo,,Sustantivo propio
7°,Lenguaje,La idea que NO pertenece al tema de la descripción es:,img/texto16.webp,Tiene cultivos del arveja y animales como gallinas y vacas.,,"La finca de mi abuelito, ubicada en Aguas Claras es grande y hermosa",,Lo que más me gusta es su hermoso lago de aguas muy frías en las que hay muchos peces.,,"Espero que mi papá me deje ir a visitarla para jugar, alimentar los animales y divertirme.",,"Espero que mi papá me deje ir a visitarla para jugar, alimentar los animales y divertirme."
7°,Lenguaje,La palabra “más” lleva tilde por:,img/texto16.webp,Ser monosílaba,,Ser aguda,,Reemplazar la palabra pero,,Referirse a cantidad,,Referirse a cantidad
